	cellType	gene	log1p_FC	pct.inGroup	pct.outGroup	wilcox.p	wilcox.fdr	wilcox.bonferroni
1	Basal	MIR205HG	1.757514274	0.969230769	0.489669421	8.08649E-39	2.83836E-36	2.83836E-36
2	Basal	KRT5	0.750193506	0.861538462	0.26446281	3.59817E-36	6.31478E-34	1.26296E-33
4	Basal	CYP24A1	0.678724124	0.892307692	0.320247934	4.87371E-32	4.27668E-30	1.71067E-29
6	Basal	KRT15	1.081761769	0.923076923	0.566115702	7.82051E-31	4.575E-29	2.745E-28
8	Basal	TNS4	0.666387024	0.892307692	0.493801653	1.06119E-28	4.65599E-27	3.72479E-26
9	Basal	LGALS7B	0.629176196	0.830769231	0.382231405	1.60891E-27	6.27475E-26	5.64727E-25
14	Basal	COL4A5	0.6057026	0.938461538	0.723140496	2.91114E-25	7.29864E-24	1.02181E-22
18	Basal	SLC2A9	0.478224556	0.846153846	0.516528926	2.65724E-24	4.95165E-23	9.32691E-22
19	Basal	LGALS7	0.30510063	0.723076923	0.256198347	2.68038E-24	4.95165E-23	9.40814E-22
21	Basal	SERPINB5	0.444911965	0.769230769	0.342975207	7.21232E-23	1.20549E-21	2.53152E-20
22	Basal	UGT1A8	0.378915666	0.815384615	0.423553719	1.15414E-22	1.84137E-21	4.05102E-20
24	Basal	ITGB4	0.496081681	0.907692308	0.673553719	4.15918E-22	6.0828E-21	1.45987E-19
51	Basal	PTPRZ1	0.336872747	0.784615385	0.495867769	7.61009E-17	5.23753E-16	2.67114E-14
55	Basal	USP31	0.425332918	0.846153846	0.716942149	3.00754E-16	1.91936E-15	1.05565E-13
56	Basal	DTNB	0.435121099	0.984615385	0.855371901	3.11406E-16	1.95185E-15	1.09303E-13
63	Basal	INTS4P1	0.374396944	0.830769231	0.559917355	5.87163E-16	3.27134E-15	2.06094E-13
65	Basal	ARG2	0.470008041	0.892307692	0.67768595	7.60025E-16	4.10414E-15	2.66769E-13
69	Basal	ENSG00000256249	0.303656874	0.769230769	0.450413223	3.12629E-15	1.59033E-14	1.09733E-12
78	Basal	DENND2C	0.443913808	0.938461538	0.758264463	2.27867E-14	1.0254E-13	7.99813E-12
82	Basal	NDFIP2	0.390048786	0.876923077	0.783057851	5.9542E-14	2.54869E-13	2.08992E-11
87	Basal	ALDH7A1	0.325891178	0.784615385	0.654958678	1.46783E-13	5.92194E-13	5.15209E-11
89	Basal	TTC19	0.32798676	0.969230769	0.855371901	2.22299E-13	8.76709E-13	7.80271E-11
99	Basal	ENSG00000272693	0.36654216	0.876923077	0.743801653	8.23006E-13	2.91793E-12	2.88875E-10
100	Basal	LGR4	0.329876922	0.892307692	0.667355372	8.50868E-13	2.98655E-12	2.98655E-10
214	Basal	ZSWIM4	0.366371534	0.907692308	0.828512397	7.07865E-08	1.16103E-07	2.48461E-05
223	Basal	SLC20A2	0.322865779	0.938461538	0.849173554	1.01849E-07	1.60309E-07	3.57489E-05
237	Basal	ENSG00000218175	0.356069968	0.938461538	0.884297521	3.03617E-07	4.49661E-07	0.00010657
258	Basal	CSNK1A1	0.318637748	0.984615385	0.944214876	1.77073E-06	2.40901E-06	0.000621525
352	AT2	ALOX15B	0.493109083	0.864864865	0.233684211	7.53835E-43	3.5958E-40	3.5958E-40
355	AT2	SFTPA1	2.190528268	0.932432432	0.408421053	2.6084E-40	3.11052E-38	1.24421E-37
356	AT2	ENSG00000237413	0.601448586	0.878378378	0.309473684	1.90151E-39	1.81404E-37	9.07022E-37
358	AT2	SFTPC	3.597459223	0.945945946	0.602105263	6.56415E-37	4.473E-35	3.1311E-34
359	AT2	SFTPA2	2.062391014	0.918918919	0.444210526	1.34947E-36	8.04624E-35	6.437E-34
360	AT2	ABCA3	1.525390859	0.959459459	0.696842105	1.56027E-36	8.26941E-35	7.44247E-34
363	AT2	CCDC141	0.665542141	0.864864865	0.338947368	1.79772E-34	7.14595E-33	8.57514E-32
369	AT2	LHFPL3-AS2	0.411571887	0.797297297	0.288421053	1.35868E-31	3.60051E-30	6.48092E-29
372	AT2	ALPL	0.901077412	0.905405405	0.637894737	1.07791E-29	2.44839E-28	5.14163E-27
374	AT2	PGC	0.968361966	0.837837838	0.383157895	2.3626E-29	4.89982E-28	1.12696E-26
377	AT2	CACNA2D2	0.511266691	0.891891892	0.397894737	8.50115E-29	1.55963E-27	4.05505E-26
379	AT2	WIF1	0.668834525	0.878378378	0.475789474	3.66864E-28	6.2498E-27	1.74994E-25
382	AT2	DMBT1	0.367936607	0.743243243	0.235789474	8.75639E-28	1.34735E-26	4.1768E-25
383	AT2	ENSG00000227307	0.330378654	0.824324324	0.343157895	1.0068E-27	1.46846E-26	4.80242E-25
388	AT2	SLC22A31	0.324989136	0.851351351	0.364210526	7.87828E-27	1.01566E-25	3.75794E-24
392	AT2	KIAA1324L	0.409004992	0.851351351	0.513684211	3.88604E-26	4.52108E-25	1.85364E-23
394	AT2	SLC6A14	0.549436416	0.878378378	0.511578947	6.1328E-25	6.80312E-24	2.92534E-22
396	AT2	TTN	0.502110353	0.851351351	0.545263158	1.07136E-24	1.13564E-23	5.11037E-22
398	AT2	LANCL1-AS1	0.368620223	0.837837838	0.461052632	1.34072E-24	1.36069E-23	6.39525E-22
401	AT2	LHFPL3	0.757874734	0.918918919	0.766315789	1.70126E-24	1.623E-23	8.115E-22
404	AT2	AGBL1	0.817325914	0.824324324	0.555789474	5.50481E-24	4.95433E-23	2.62579E-21
416	AT2	BMP1	0.603814901	0.837837838	0.52	8.9165E-23	6.54334E-22	4.25317E-20
420	AT2	FREM2	0.320197881	0.851351351	0.524210526	1.52657E-22	1.05533E-21	7.28175E-20
426	AT2	ENSG00000133808	0.517430282	0.918918919	0.686315789	6.9869E-22	4.44367E-21	3.33275E-19
427	AT2	LINC01090	0.516823737	0.878378378	0.665263158	9.71258E-22	6.09592E-21	4.6329E-19
428	AT2	SPIRE1	0.580479879	0.932432432	0.846315789	1.02486E-21	6.3488E-21	4.88857E-19
431	AT2	LRP2	0.310427626	0.824324324	0.454736842	2.82975E-21	1.68724E-20	1.34979E-18
432	AT2	C4BPA	0.427925627	0.851351351	0.509473684	5.05953E-21	2.9795E-20	2.4134E-18
434	AT2	DRAM1	0.518092322	0.918918919	0.804210526	5.27857E-21	3.03359E-20	2.51788E-18
437	AT2	FASN	0.330072545	0.851351351	0.6	1.43034E-20	7.93342E-20	6.82274E-18
448	AT2	SDR16C5	0.45311612	0.824324324	0.604210526	2.98593E-19	1.46834E-18	1.42429E-16
454	AT2	TTN-AS1	0.360744391	0.810810811	0.551578947	4.45663E-19	2.0639E-18	2.12581E-16
457	AT2	MID1IP1	0.312077438	0.878378378	0.602105263	1.51765E-18	6.82942E-18	7.23919E-16
462	AT2	NPC1	0.520102384	0.945945946	0.816842105	6.81899E-18	2.93032E-17	3.25266E-15
468	AT2	DESI2	0.312980054	0.918918919	0.789473684	2.07677E-17	8.46683E-17	9.9062E-15
476	AT2	CEP70	0.447536754	0.878378378	0.766315789	7.85261E-17	2.99655E-16	3.74569E-14
479	AT2	SPRY4-AS1	0.322172933	0.837837838	0.646315789	9.0405E-17	3.369E-16	4.31232E-14
482	AT2	ACACA	0.499924987	0.972972973	0.903157895	1.35599E-16	4.93746E-16	6.46807E-14
485	AT2	TMEM87A	0.425953067	0.945945946	0.877894737	1.71912E-16	6.11957E-16	8.20022E-14
491	AT2	ATP6V0A1	0.363591757	0.918918919	0.76	3.61272E-16	1.23091E-15	1.72327E-13
494	AT2	MBIP	0.414981182	0.878378378	0.762105263	8.68515E-16	2.89707E-15	4.14282E-13
502	AT2	DGKD	0.407853511	0.878378378	0.755789474	3.1144E-15	9.8382E-15	1.48557E-12
505	AT2	FAM184A	0.324819753	0.878378378	0.667368421	3.83024E-15	1.18638E-14	1.82702E-12
508	AT2	TMEM245	0.406764403	0.905405405	0.84	4.60151E-15	1.39804E-14	2.19492E-12
517	AT2	FAM20A	0.312929635	0.891891892	0.741052632	1.10997E-14	3.18949E-14	5.29455E-12
519	AT2	KCNQ3	0.420564691	0.851351351	0.688421053	1.25791E-14	3.57158E-14	6.00025E-12
521	AT2	MCCC1	0.352291409	0.905405405	0.795789474	1.5501E-14	4.3494E-14	7.39398E-12
530	AT2	PTPN13	0.479117094	0.918918919	0.821052632	4.08724E-14	1.08917E-13	1.94961E-11
531	AT2	FCHO2	0.361920021	0.918918919	0.797894737	4.39768E-14	1.16539E-13	2.09769E-11
539	AT2	RMC1	0.361288771	0.891891892	0.791578947	1.02409E-13	2.59836E-13	4.88492E-11
562	AT2	LRP2BP	0.337275687	0.797297297	0.675789474	6.09079E-13	1.37692E-12	2.90531E-10
563	AT2	PPP1R9A	0.367677725	0.918918919	0.861052632	6.37669E-13	1.43475E-12	3.04168E-10
568	AT2	TMEM41B	0.344848807	0.891891892	0.850526316	1.05012E-12	2.30832E-12	5.00905E-10
596	AT2	RCOR1	0.383802138	0.945945946	0.875789474	1.5323E-11	2.9833E-11	7.30908E-09
624	AT2	SEMA4A	0.391113499	0.864864865	0.732631579	3.1251E-10	5.44305E-10	1.49067E-07
627	AT2	BRAF	0.341453684	0.959459459	0.92	3.5052E-10	6.05791E-10	1.67198E-07
654	AT2	PLEKHG2	0.341792213	0.851351351	0.715789474	2.04853E-09	3.22492E-09	9.77149E-07
684	AT2	PDE4C	0.420940918	0.810810811	0.673684211	1.69256E-08	2.42448E-08	8.07352E-06
694	AT2	IQCN	0.34376433	0.837837838	0.76	2.75777E-08	3.83515E-08	1.31546E-05
829	AT1	AGER	2.561968831	0.972222222	0.423480084	6.35826E-45	4.32997E-42	4.32997E-42
833	AT1	CLDN18	1.613177389	0.958333333	0.486373166	4.57072E-40	6.22532E-38	3.11266E-37
834	AT1	SUSD2	1.025550209	0.972222222	0.496855346	1.75031E-39	1.71293E-37	1.19196E-36
837	AT1	TNNC1	0.956392298	0.916666667	0.406708595	1.30307E-37	9.85987E-36	8.87388E-35
838	AT1	WFS1	0.873794533	0.944444444	0.547169811	2.1256E-37	1.44753E-35	1.44753E-34
840	AT1	SCEL	1.261113495	0.958333333	0.616352201	8.06728E-37	4.34828E-35	5.49382E-34
841	AT1	AQP4	1.115342038	0.930555556	0.511530398	8.30069E-37	4.34828E-35	5.65277E-34
842	AT1	COL4A3	1.134383635	0.958333333	0.63312369	1.8026E-36	8.76835E-35	1.22757E-33
845	AT1	GGTLC1	0.660177968	0.833333333	0.274633124	9.66539E-36	3.87184E-34	6.58213E-33
850	AT1	ANKRD29	0.943394966	0.916666667	0.513626834	6.08876E-35	1.88475E-33	4.14644E-32
852	AT1	COL4A4	0.81252858	0.944444444	0.641509434	1.83425E-34	5.20468E-33	1.24912E-31
856	AT1	DAPK2	1.152932663	0.986111111	0.744234801	6.10312E-34	1.48437E-32	4.15622E-31
857	AT1	CLIC5	1.194743167	0.944444444	0.696016771	6.72406E-34	1.57899E-32	4.57909E-31
