Gene_stable_ID	Gene_%_GC_content	Gene_type	NCBI_gene_ID	Gene_name	Pig190723_PCLS_200304_1_gene_rcount.gr	Pig190723_PCLS_200304_2_gene_rcount.gr	Pig190723_PCLS_200304_3_gene_rcount.gr	Pig190723_PCLS_200304_4_gene_rcount.gr
ENSSSCG00000018060	38.57	Mt_tRNA	---	---	9.0	2.0	1.0	3.0
ENSSSCG00000018061	40.83	Mt_rRNA	---	---	7184.0	6163.0	5492.0	4537.0
ENSSSCG00000018062	38.24	Mt_tRNA	---	---	329.0	307.0	197.0	173.0
ENSSSCG00000018063	37.68	Mt_rRNA	---	---	27619.0	24879.0	20085.0	16020.0
ENSSSCG00000018064	41.33	Mt_tRNA	---	---	437.0	414.0	279.0	218.0
ENSSSCG00000018065	42.3	protein_coding	808501	ND1	153442.0	135459.0	139884.0	108749.0
ENSSSCG00000018066	27.54	Mt_tRNA	---	---	60.0	40.0	28.0	17.0
ENSSSCG00000018067	38.36	Mt_tRNA	---	---	124.0	104.0	82.0	79.0
ENSSSCG00000018068	47.14	Mt_tRNA	---	---	955.0	846.0	609.0	608.0
ENSSSCG00000018069	37.04	protein_coding	808502	ND2	217940.0	193456.0	182799.0	148233.0
ENSSSCG00000018070	38.24	Mt_tRNA	---	---	707.0	677.0	342.0	366.0
ENSSSCG00000018071	35.29	Mt_tRNA	---	---	230.0	277.0	194.0	153.0
ENSSSCG00000018072	38.67	Mt_tRNA	---	---	220.0	206.0	184.0	119.0
ENSSSCG00000018073	40.91	Mt_tRNA	---	---	633.0	628.0	516.0	391.0
ENSSSCG00000018074	39.39	Mt_tRNA	---	---	194.0	185.0	157.0	139.0
ENSSSCG00000018075	41.42	protein_coding	808503	COX1	570683.0	531430.0	532871.0	402981.0
ENSSSCG00000018076	45.07	Mt_tRNA	---	---	423.0	464.0	299.0	243.0
ENSSSCG00000018077	30.88	Mt_tRNA	---	---	189.0	166.0	146.0	93.0
ENSSSCG00000018078	38.81	protein_coding	808504	COX2	288302.0	248612.0	244086.0	194197.0
ENSSSCG00000018079	44.78	Mt_tRNA	---	---	1175.0	930.0	763.0	634.0
ENSSSCG00000018080	31.86	protein_coding	808505	ATP8	64591.0	46567.0	41628.0	38092.0
ENSSSCG00000018081	38.47	protein_coding	808506	ATP6	301218.0	253183.0	254402.0	206522.0
ENSSSCG00000018082	44.01	protein_coding	808507	COX3	292319.0	253336.0	285109.0	224409.0
