Transcript_stable_ID	Transcript_type	Pig190723_PCLS_200304_1_trans_rcount.tr	Pig190723_PCLS_200304_2_trans_rcount.tr	Pig190723_PCLS_200304_3_trans_rcount.tr	Pig190723_PCLS_200304_4_trans_rcount.tr
ENSSSCT00000019655	Mt_tRNA	9.0	2.0	1.0	3.0
ENSSSCT00000019656	Mt_rRNA	7184.0	6163.0	5492.0	4537.0
ENSSSCT00000019657	Mt_tRNA	329.0	307.0	197.0	173.0
ENSSSCT00000019658	Mt_rRNA	27619.0	24879.0	20085.0	16020.0
ENSSSCT00000019659	Mt_tRNA	437.0	414.0	279.0	218.0
ENSSSCT00000019660	protein_coding	153442.0	135459.0	139884.0	108749.0
ENSSSCT00000019661	Mt_tRNA	60.0	40.0	28.0	17.0
ENSSSCT00000019662	Mt_tRNA	124.0	104.0	82.0	79.0
ENSSSCT00000019663	Mt_tRNA	955.0	846.0	609.0	608.0
ENSSSCT00000019664	protein_coding	217940.0	193456.0	182799.0	148233.0
ENSSSCT00000019665	Mt_tRNA	707.0	677.0	342.0	366.0
ENSSSCT00000019666	Mt_tRNA	230.0	277.0	194.0	153.0
ENSSSCT00000019667	Mt_tRNA	220.0	206.0	184.0	119.0
ENSSSCT00000019668	Mt_tRNA	633.0	628.0	516.0	391.0
ENSSSCT00000019669	Mt_tRNA	194.0	185.0	157.0	139.0
ENSSSCT00000019670	protein_coding	570683.0	531430.0	532871.0	402981.0
ENSSSCT00000019671	Mt_tRNA	423.0	464.0	299.0	243.0
ENSSSCT00000019672	Mt_tRNA	189.0	166.0	146.0	93.0
ENSSSCT00000019673	protein_coding	288302.0	248612.0	244086.0	194197.0
ENSSSCT00000019674	Mt_tRNA	1175.0	930.0	763.0	634.0
ENSSSCT00000019675	protein_coding	64591.0	46567.0	41628.0	38092.0
ENSSSCT00000019676	protein_coding	301218.0	253183.0	254402.0	206522.0
ENSSSCT00000019677	protein_coding	292319.0	253336.0	285109.0	224409.0
ENSSSCT00000019678	Mt_tRNA	113.0	68.0	31.0	29.0
ENSSSCT00000019679	protein_coding	36548.0	32497.0	32725.0	25775.0
ENSSSCT00000019680	Mt_tRNA	8.0	10.0	8.0	2.0
ENSSSCT00000019681	protein_coding	31178.0	23405.0	20784.0	17631.0
ENSSSCT00000019682	protein_coding	177900.0	151841.0	160530.0	121412.0
ENSSSCT00000019683	Mt_tRNA	17.0	8.0	2.0	7.0
ENSSSCT00000019684	Mt_tRNA	20.0	19.0	8.0	10.0
ENSSSCT00000019685	Mt_tRNA	82.0	62.0	22.0	25.0
ENSSSCT00000019686	protein_coding	182867.0	150917.0	151110.0	116982.0
ENSSSCT00000019687	protein_coding	10281.0	8905.0	4186.0	4982.0
ENSSSCT00000019688	Mt_tRNA	32.0	31.0	28.0	25.0
ENSSSCT00000019689	protein_coding	111121.0	93902.0	99842.0	83585.0
ENSSSCT00000019690	Mt_tRNA	347.0	262.0	299.0	247.0
ENSSSCT00000019691	Mt_tRNA	102.0	114.0	123.0	103.0
ENSSSCT00000050491	protein_coding	757.0	504.0	965.0	860.0
ENSSSCT00000044078	protein_coding	641.0	405.0	821.0	726.0
ENSSSCT00000065725	protein_coding	12.0	7.0	0.0	5.0
ENSSSCT00000062342	protein_coding	2580.0	2020.0	2714.0	2044.0
ENSSSCT00000049782	protein_coding	2582.0	2017.0	2714.0	2041.0
