Gene_stable_ID	Gene_%_GC_content	Gene_type	NCBI_gene_ID	Gene_name	Pig190723_PCLS_200304_1_S9.tsv	Pig190723_PCLS_200304_2_S10.tsv	Pig190723_PCLS_200304_3_S11.tsv	Pig190723_PCLS_200304_4_S12.tsv
ENSSSCG00000018060	38.57	Mt_tRNA	---	---	8.344311	6.847362	2.741488	4.189357
ENSSSCG00000018061	40.83	Mt_rRNA	---	---	433.740845	456.595337	345.334625	319.315857
ENSSSCG00000018062	38.24	Mt_tRNA	---	---	222.55011	247.66571	138.272064	145.079758
ENSSSCG00000018063	37.68	Mt_rRNA	---	---	1019.835144	1124.461792	770.923462	688.929382
ENSSSCG00000018064	41.33	Mt_tRNA	---	---	488.875977	511.307526	360.148132	311.977753
ENSSSCG00000018065	42.3	protein_coding	808501	ND1	9321.286133	10084.391602	8846.953125	7518.299316
ENSSSCG00000018066	27.54	Mt_tRNA	---	---	38.89315	33.582081	20.190025	19.933622
ENSSSCG00000018067	38.36	Mt_tRNA	---	---	44.520309	48.292858	34.130718	31.804823
ENSSSCG00000018068	47.14	Mt_tRNA	---	---	551.540222	612.886169	405.155182	415.478882
ENSSSCG00000018069	37.04	protein_coding	808502	ND2	12151.223633	13232.700195	10617.714844	9646.164062
ENSSSCG00000018070	38.24	Mt_tRNA	---	---	362.58429	403.975708	177.380264	204.053528
ENSSSCG00000018071	35.29	Mt_tRNA	---	---	129.640274	179.708511	106.295898	93.566978
ENSSSCG00000018072	38.67	Mt_tRNA	---	---	168.219269	213.810577	146.179047	114.087593
ENSSSCG00000018073	40.91	Mt_tRNA	---	---	333.781982	409.003143	285.96637	239.12619
ENSSSCG00000018074	39.39	Mt_tRNA	---	---	172.259415	201.752258	138.695206	127.075653
ENSSSCG00000018075	41.42	protein_coding	808503	COX1	21062.818359	24026.183594	20458.816406	17317.285156
ENSSSCG00000018076	45.07	Mt_tRNA	---	---	157.287018	222.833633	121.82164	108.770164
ENSSSCG00000018077	30.88	Mt_tRNA	---	---	137.106659	161.690384	125.649277	108.885872
ENSSSCG00000018078	38.81	protein_coding	808504	COX2	24364.107422	25740.992188	21464.833984	19130.75
ENSSSCG00000018079	44.78	Mt_tRNA	---	---	1445.334839	1363.386719	1065.701416	1047.082275
ENSSSCG00000018080	31.86	protein_coding	808505	ATP8	18006.417969	15920.109375	12169.527344	12383.46875
ENSSSCG00000018081	38.47	protein_coding	808506	ATP6	7303.313965	7356.237305	6251.147949	5559.643066
ENSSSCG00000018082	44.01	protein_coding	808507	COX3	21714.191406	23023.117188	22041.339844	19430.601562
ENSSSCG00000018083	31.88	Mt_tRNA	---	---	118.088455	102.2808	61.396294	63.725014
ENSSSCG00000018084	39.6	protein_coding	808508	ND3	6124.197754	6673.639648	5707.873047	5031.60791
ENSSSCG00000018085	21.74	Mt_tRNA	---	---	78.155327	71.630806	50.248142	50.270798
ENSSSCG00000018086	37.37	protein_coding	808509	ND4L	5944.26416	5456.529785	4124.561523	3914.295166
ENSSSCG00000018087	39.91	protein_coding	808510	ND4	7522.020508	7876.562988	7067.68457	5991.390625
ENSSSCG00000018088	23.19	Mt_tRNA	---	---	13.53097	8.398946	3.432886	6.505479
ENSSSCG00000018089	35.59	Mt_tRNA	---	---	28.222282	29.163038	10.030024	10.870896
ENSSSCG00000018090	34.29	Mt_tRNA	---	---	58.134605	64.921631	23.28544	28.271738
ENSSSCG00000018091	38.55	protein_coding	808511	ND5	5716.736816	5803.484863	4953.616699	4265.820801
ENSSSCG00000018092	34.28	protein_coding	808512	ND6	1072.191895	1132.268311	454.771729	594.929749
ENSSSCG00000018093	34.78	Mt_tRNA	---	---	81.633125	78.330788	33.339725	49.149612
ENSSSCG00000018094	41.84	protein_coding	808513	CYTB	5664.819824	5860.189941	5297.994141	4968.221191
ENSSSCG00000018095	47.06	Mt_tRNA	---	---	190.22229	190.20517	175.490982	146.68042
ENSSSCG00000018096	43.75	Mt_tRNA	---	---	41.931679	59.087196	54.148689	50.501595
ENSSSCG00000033408	41.18	snoRNA	---	---	0.0	0.0	0.0	0.0
ENSSSCG00000019519	40	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000036137	37.38	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000031544	38.32	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000024374	46.38	snRNA	---	U6	0.0	0.0	0.0	0.0
ENSSSCG00000028766	55.71	misc_RNA	---	Metazoa_SRP	0.0	0.196275	0.0	0.0
ENSSSCG00000024153	45.89	snRNA	---	U12	0.0	0.0	0.0	0.0
ENSSSCG00000043827	37.25	snRNA	---	U2	0.0	0.0	0.0	0.0
