Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Transcript type
ENSRNOG00000031780,ENSRNOG00000031780.1,ENSRNOT00000041720,ENSRNOT00000041720.1,Mt_tRNA
ENSRNOG00000030478,ENSRNOG00000030478.3,ENSRNOT00000040038,ENSRNOT00000040038.3,Mt_rRNA
ENSRNOG00000029171,ENSRNOG00000029171.3,ENSRNOT00000045072,ENSRNOT00000045072.3,Mt_tRNA
ENSRNOG00000043866,ENSRNOG00000043866.1,ENSRNOT00000069133,ENSRNOT00000069133.1,Mt_rRNA
ENSRNOG00000032112,ENSRNOG00000032112.3,ENSRNOT00000049156,ENSRNOT00000049156.3,Mt_tRNA
ENSRNOG00000030644,ENSRNOG00000030644.4,ENSRNOT00000047550,ENSRNOT00000047550.4,protein_coding
ENSRNOG00000029301,ENSRNOG00000029301.3,ENSRNOT00000051008,ENSRNOT00000051008.3,Mt_tRNA
ENSRNOG00000033545,ENSRNOG00000033545.3,ENSRNOT00000049396,ENSRNOT00000049396.3,Mt_tRNA
ENSRNOG00000032274,ENSRNOG00000032274.3,ENSRNOT00000042644,ENSRNOT00000042644.3,Mt_tRNA
ENSRNOG00000031033,ENSRNOG00000031033.4,ENSRNOT00000040993,ENSRNOT00000040993.4,protein_coding
ENSRNOG00000029677,ENSRNOG00000029677.3,ENSRNOT00000046073,ENSRNOT00000046073.3,Mt_tRNA
ENSRNOG00000033932,ENSRNOG00000033932.3,ENSRNOT00000044320,ENSRNOT00000044320.3,Mt_tRNA
ENSRNOG00000032609,ENSRNOG00000032609.3,ENSRNOT00000048525,ENSRNOT00000048525.3,Mt_tRNA
ENSRNOG00000031333,ENSRNOG00000031333.3,ENSRNOT00000045310,ENSRNOT00000045310.3,Mt_tRNA
ENSRNOG00000029954,ENSRNOG00000029954.3,ENSRNOT00000051860,ENSRNOT00000051860.3,Mt_tRNA
ENSRNOG00000034234,ENSRNOG00000034234.3,ENSRNOT00000050156,ENSRNOT00000050156.3,protein_coding
ENSRNOG00000032882,ENSRNOG00000032882.3,ENSRNOT00000040283,ENSRNOT00000040283.3,Mt_tRNA
ENSRNOG00000031685,ENSRNOG00000031685.3,ENSRNOT00000051129,ENSRNOT00000051129.3,Mt_tRNA
ENSRNOG00000030371,ENSRNOG00000030371.3,ENSRNOT00000043693,ENSRNOT00000043693.3,protein_coding
ENSRNOG00000029070,ENSRNOG00000029070.3,ENSRNOT00000041978,ENSRNOT00000041978.3,Mt_tRNA
ENSRNOG00000033299,ENSRNOG00000033299.3,ENSRNOT00000046201,ENSRNOT00000046201.3,protein_coding
ENSRNOG00000031979,ENSRNOG00000031979.3,ENSRNOT00000046108,ENSRNOT00000046108.3,protein_coding
ENSRNOG00000030700,ENSRNOG00000030700.3,ENSRNOT00000049683,ENSRNOT00000049683.3,protein_coding
ENSRNOG00000029389,ENSRNOG00000029389.3,ENSRNOT00000048050,ENSRNOT00000048050.3,Mt_tRNA
ENSRNOG00000033615,ENSRNOG00000033615.3,ENSRNOT00000041241,ENSRNOT00000041241.3,protein_coding
ENSRNOG00000032320,ENSRNOG00000032320.3,ENSRNOT00000052103,ENSRNOT00000052103.3,Mt_tRNA
ENSRNOG00000031053,ENSRNOG00000031053.3,ENSRNOT00000044582,ENSRNOT00000044582.3,protein_coding
ENSRNOG00000029707,ENSRNOG00000029707.3,ENSRNOT00000042928,ENSRNOT00000042928.3,protein_coding
ENSRNOG00000033957,ENSRNOG00000033957.3,ENSRNOT00000047162,ENSRNOT00000047162.3,Mt_tRNA
ENSRNOG00000032578,ENSRNOG00000032578.3,ENSRNOT00000045499,ENSRNOT00000045499.3,Mt_tRNA
ENSRNOG00000031667,ENSRNOG00000031667.3,ENSRNOT00000050396,ENSRNOT00000050396.3,Mt_tRNA
ENSRNOG00000029971,ENSRNOG00000029971.3,ENSRNOT00000048767,ENSRNOT00000048767.3,protein_coding
ENSRNOG00000029042,ENSRNOG00000029042.3,ENSRNOT00000051268,ENSRNOT00000051268.3,protein_coding
ENSRNOG00000032997,ENSRNOG00000032997.3,ENSRNOT00000049806,ENSRNOT00000049806.3,Mt_tRNA
ENSRNOG00000031766,ENSRNOG00000031766.3,ENSRNOT00000042098,ENSRNOT00000042098.3,protein_coding
ENSRNOG00000030339,ENSRNOG00000030339.3,ENSRNOT00000040611,ENSRNOT00000040611.3,Mt_tRNA
ENSRNOG00000029145,ENSRNOG00000029145.3,ENSRNOT00000044639,ENSRNOT00000044639.3,Mt_tRNA
ENSRNOG00000056933,ENSRNOG00000056933.1,ENSRNOT00000088860,ENSRNOT00000088860.1,lincRNA
ENSRNOG00000053465,ENSRNOG00000053465.1,ENSRNOT00000089697,ENSRNOT00000089697.1,lincRNA
ENSRNOG00000056802,ENSRNOG00000056802.1,ENSRNOT00000083328,ENSRNOT00000083328.1,lincRNA
ENSRNOG00000058088,ENSRNOG00000058088.1,ENSRNOT00000088269,ENSRNOT00000088269.1,lincRNA
ENSRNOG00000050313,ENSRNOG00000050313.1,ENSRNOT00000075759,ENSRNOT00000075759.1,miRNA
ENSRNOG00000018762,ENSRNOG00000018762.8,ENSRNOT00000067916,ENSRNOT00000067916.3,protein_coding
ENSRNOG00000000415,ENSRNOG00000000415.6,ENSRNOT00000000471,ENSRNOT00000000471.6,protein_coding
ENSRNOG00000000415,ENSRNOG00000000415.6,ENSRNOT00000084420,ENSRNOT00000084420.1,protein_coding
ENSRNOG00000057065,ENSRNOG00000057065.1,ENSRNOT00000082117,ENSRNOT00000082117.1,snoRNA
ENSRNOG00000013102,ENSRNOG00000013102.8,ENSRNOT00000017829,ENSRNOT00000017829.4,protein_coding
ENSRNOG00000058883,ENSRNOG00000058883.1,ENSRNOT00000072054,ENSRNOT00000072054.2,protein_coding
ENSRNOG00000040242,ENSRNOG00000040242.4,ENSRNOT00000061930,ENSRNOT00000061930.4,protein_coding
ENSRNOG00000007027,ENSRNOG00000007027.5,ENSRNOT00000009763,ENSRNOT00000009763.5,protein_coding
ENSRNOG00000056734,ENSRNOG00000056734.1,ENSRNOT00000082727,ENSRNOT00000082727.1,snoRNA
ENSRNOG00000035582,ENSRNOG00000035582.1,ENSRNOT00000053705,ENSRNOT00000053705.1,miRNA
ENSRNOG00000036402,ENSRNOG00000036402.1,ENSRNOT00000054516,ENSRNOT00000054516.1,miRNA
ENSRNOG00000014268,ENSRNOG00000014268.7,ENSRNOT00000020339,ENSRNOT00000020339.7,protein_coding
ENSRNOG00000003508,ENSRNOG00000003508.7,ENSRNOT00000005273,ENSRNOT00000005273.7,protein_coding
ENSRNOG00000055473,ENSRNOG00000055473.1,ENSRNOT00000091500,ENSRNOT00000091500.1,pseudogene
ENSRNOG00000014185,ENSRNOG00000014185.3,ENSRNOT00000018987,ENSRNOT00000018987.3,protein_coding
ENSRNOG00000050854,ENSRNOG00000050854.3,ENSRNOT00000071707,ENSRNOT00000071707.3,protein_coding
ENSRNOG00000050854,ENSRNOG00000050854.3,ENSRNOT00000073435,ENSRNOT00000073435.2,protein_coding
ENSRNOG00000033391,ENSRNOG00000033391.3,ENSRNOT00000048033,ENSRNOT00000048033.3,protein_coding
ENSRNOG00000038902,ENSRNOG00000038902.4,ENSRNOT00000059467,ENSRNOT00000059467.4,protein_coding
ENSRNOG00000033540,ENSRNOG00000033540.2,ENSRNOT00000043686,ENSRNOT00000043686.2,protein_coding
ENSRNOG00000001452,ENSRNOG00000001452.3,ENSRNOT00000001973,ENSRNOT00000001973.3,protein_coding
ENSRNOG00000017462,ENSRNOG00000017462.6,ENSRNOT00000023584,ENSRNOT00000023584.6,protein_coding
ENSRNOG00000017462,ENSRNOG00000017462.6,ENSRNOT00000078650,ENSRNOT00000078650.1,protein_coding
ENSRNOG00000005491,ENSRNOG00000005491.6,ENSRNOT00000007309,ENSRNOT00000007309.6,protein_coding
ENSRNOG00000019804,ENSRNOG00000019804.5,ENSRNOT00000026875,ENSRNOT00000026875.5,protein_coding
ENSRNOG00000042286,ENSRNOG00000042286.2,ENSRNOT00000068623,ENSRNOT00000068623.2,protein_coding
ENSRNOG00000003073,ENSRNOG00000003073.6,ENSRNOT00000004104,ENSRNOT00000004104.6,protein_coding
ENSRNOG00000021693,ENSRNOG00000021693.6,ENSRNOT00000034448,ENSRNOT00000034448.5,protein_coding
ENSRNOG00000005151,ENSRNOG00000005151.7,ENSRNOT00000006953,ENSRNOT00000006953.6,protein_coding
ENSRNOG00000005151,ENSRNOG00000005151.7,ENSRNOT00000068030,ENSRNOT00000068030.2,protein_coding
ENSRNOG00000006703,ENSRNOG00000006703.6,ENSRNOT00000008743,ENSRNOT00000008743.6,protein_coding
ENSRNOG00000018567,ENSRNOG00000018567.7,ENSRNOT00000025294,ENSRNOT00000025294.6,protein_coding
ENSRNOG00000004356,ENSRNOG00000004356.7,ENSRNOT00000005768,ENSRNOT00000005768.7,protein_coding
ENSRNOG00000025619,ENSRNOG00000025619.6,ENSRNOT00000033977,ENSRNOT00000033977.6,protein_coding
ENSRNOG00000039601,ENSRNOG00000039601.3,ENSRNOT00000060703,ENSRNOT00000060703.3,protein_coding
ENSRNOG00000003633,ENSRNOG00000003633.4,ENSRNOT00000004880,ENSRNOT00000004880.4,protein_coding
ENSRNOG00000015444,ENSRNOG00000015444.2,ENSRNOT00000020699,ENSRNOT00000020699.2,protein_coding
ENSRNOG00000018767,ENSRNOG00000018767.6,ENSRNOT00000025550,ENSRNOT00000025550.6,protein_coding
ENSRNOG00000027506,ENSRNOG00000027506.3,ENSRNOT00000038938,ENSRNOT00000038938.3,protein_coding
ENSRNOG00000019575,ENSRNOG00000019575.5,ENSRNOT00000026526,ENSRNOT00000026526.5,protein_coding
ENSRNOG00000030830,ENSRNOG00000030830.6,ENSRNOT00000040170,ENSRNOT00000040170.6,protein_coding
ENSRNOG00000001959,ENSRNOG00000001959.7,ENSRNOT00000039876,ENSRNOT00000039876.5,protein_coding
ENSRNOG00000057960,ENSRNOG00000057960.1,ENSRNOT00000091437,ENSRNOT00000091437.1,lincRNA
ENSRNOG00000061652,ENSRNOG00000061652.1,ENSRNOT00000086475,ENSRNOT00000086475.1,lincRNA
ENSRNOG00000057255,ENSRNOG00000057255.1,ENSRNOT00000083040,ENSRNOT00000083040.1,misc_RNA
ENSRNOG00000054208,ENSRNOG00000054208.1,ENSRNOT00000063198,ENSRNOT00000063198.3,miRNA
ENSRNOG00000000954,ENSRNOG00000000954.7,ENSRNOT00000001261,ENSRNOT00000001261.6,protein_coding
ENSRNOG00000009450,ENSRNOG00000009450.4,ENSRNOT00000012644,ENSRNOT00000012644.4,protein_coding
ENSRNOG00000052006,ENSRNOG00000052006.1,ENSRNOT00000071718,ENSRNOT00000071718.2,pseudogene
ENSRNOG00000052630,ENSRNOG00000052630.1,ENSRNOT00000080240,ENSRNOT00000080240.1,lincRNA
ENSRNOG00000008345,ENSRNOG00000008345.7,ENSRNOT00000011287,ENSRNOT00000011287.6,protein_coding
ENSRNOG00000050876,ENSRNOG00000050876.1,ENSRNOT00000046167,ENSRNOT00000046167.1,protein_coding
ENSRNOG00000012718,ENSRNOG00000012718.7,ENSRNOT00000017022,ENSRNOT00000017022.7,protein_coding
ENSRNOG00000047085,ENSRNOG00000047085.2,ENSRNOT00000075420,ENSRNOT00000075420.2,protein_coding
ENSRNOG00000056247,ENSRNOG00000056247.1,ENSRNOT00000083070,ENSRNOT00000083070.1,misc_RNA
ENSRNOG00000028248,ENSRNOG00000028248.6,ENSRNOT00000033486,ENSRNOT00000033486.6,protein_coding
ENSRNOG00000057153,ENSRNOG00000057153.1,ENSRNOT00000077727,ENSRNOT00000077727.1,protein_coding
ENSRNOG00000001647,ENSRNOG00000001647.6,ENSRNOT00000002247,ENSRNOT00000002247.6,protein_coding
ENSRNOG00000017330,ENSRNOG00000017330.6,ENSRNOT00000023483,ENSRNOT00000023483.6,protein_coding
ENSRNOG00000054542,ENSRNOG00000054542.1,ENSRNOT00000078197,ENSRNOT00000078197.1,lincRNA
ENSRNOG00000056975,ENSRNOG00000056975.1,ENSRNOT00000081177,ENSRNOT00000081177.1,misc_RNA
ENSRNOG00000017265,ENSRNOG00000017265.7,ENSRNOT00000023550,ENSRNOT00000023550.7,protein_coding
ENSRNOG00000049532,ENSRNOG00000049532.1,ENSRNOT00000072060,ENSRNOT00000072060.1,miRNA
ENSRNOG00000009675,ENSRNOG00000009675.5,ENSRNOT00000039059,ENSRNOT00000039059.3,protein_coding
ENSRNOG00000009675,ENSRNOG00000009675.5,ENSRNOT00000080623,ENSRNOT00000080623.1,protein_coding
ENSRNOG00000015850,ENSRNOG00000015850.5,ENSRNOT00000021348,ENSRNOT00000021348.5,protein_coding
ENSRNOG00000053524,ENSRNOG00000053524.1,ENSRNOT00000082553,ENSRNOT00000082553.1,snRNA
ENSRNOG00000028865,ENSRNOG00000028865.1,ENSRNOT00000042142,ENSRNOT00000042142.1,protein_coding
ENSRNOG00000010008,ENSRNOG00000010008.7,ENSRNOT00000013501,ENSRNOT00000013501.7,protein_coding
ENSRNOG00000051788,ENSRNOG00000051788.1,ENSRNOT00000087195,ENSRNOT00000087195.1,snRNA
ENSRNOG00000034107,ENSRNOG00000034107.4,ENSRNOT00000041750,ENSRNOT00000041750.4,protein_coding
ENSRNOG00000024780,ENSRNOG00000024780.4,ENSRNOT00000037371,ENSRNOT00000037371.3,protein_coding
ENSRNOG00000053029,ENSRNOG00000053029.1,ENSRNOT00000091322,ENSRNOT00000091322.1,lincRNA
ENSRNOG00000059745,ENSRNOG00000059745.1,ENSRNOT00000087097,ENSRNOT00000087097.1,snoRNA
ENSRNOG00000013963,ENSRNOG00000013963.7,ENSRNOT00000018877,ENSRNOT00000018877.7,protein_coding
ENSRNOG00000010807,ENSRNOG00000010807.5,ENSRNOT00000014407,ENSRNOT00000014407.5,protein_coding
ENSRNOG00000028869,ENSRNOG00000028869.3,ENSRNOT00000048460,ENSRNOT00000048460.3,protein_coding
ENSRNOG00000016631,ENSRNOG00000016631.7,ENSRNOT00000022324,ENSRNOT00000022324.6,protein_coding
ENSRNOG00000008519,ENSRNOG00000008519.7,ENSRNOT00000011263,ENSRNOT00000011263.6,protein_coding
ENSRNOG00000008519,ENSRNOG00000008519.7,ENSRNOT00000086491,ENSRNOT00000086491.1,protein_coding
ENSRNOG00000024331,ENSRNOG00000024331.4,ENSRNOT00000033621,ENSRNOT00000033621.4,protein_coding
ENSRNOG00000047768,ENSRNOG00000047768.2,ENSRNOT00000072098,ENSRNOT00000072098.2,protein_coding
ENSRNOG00000047768,ENSRNOG00000047768.2,ENSRNOT00000083578,ENSRNOT00000083578.1,protein_coding
ENSRNOG00000015415,ENSRNOG00000015415.6,ENSRNOT00000020822,ENSRNOT00000020822.6,protein_coding
ENSRNOG00000029613,ENSRNOG00000029613.1,ENSRNOT00000043588,ENSRNOT00000043588.1,protein_coding
ENSRNOG00000037217,ENSRNOG00000037217.3,ENSRNOT00000089831,ENSRNOT00000089831.1,protein_coding
ENSRNOG00000037217,ENSRNOG00000037217.3,ENSRNOT00000031484,ENSRNOT00000031484.3,protein_coding
ENSRNOG00000027232,ENSRNOG00000027232.5,ENSRNOT00000026969,ENSRNOT00000026969.6,protein_coding
ENSRNOG00000038024,ENSRNOG00000038024.1,ENSRNOT00000057854,ENSRNOT00000057854.1,protein_coding
ENSRNOG00000010804,ENSRNOG00000010804.4,ENSRNOT00000014337,ENSRNOT00000014337.4,protein_coding
ENSRNOG00000024801,ENSRNOG00000024801.5,ENSRNOT00000063952,ENSRNOT00000063952.1,protein_coding
